cluster_id,disruption,estimator,ridge_fraction,nominal_fit_window,rolling_window_sweeps,ablation,feature_count,maximum_distance,mean_distance,nominal_threshold_95,failure
V14Q_g0,field_reversal,euclidean,0.0,all_nominal,5,all,13,87.68407457645279,14.728305101697472,7.089486279391889,
V14Q_g0,message_corruption,euclidean,0.0,all_nominal,5,all,13,8.338802732228178,2.685637285101577,7.089486279391889,
V14Q_g0,network_partition,euclidean,0.0,all_nominal,5,all,13,8.338802732228178,2.6758749231070142,7.089486279391889,
V14Q_g0,nominal,euclidean,0.0,all_nominal,5,all,13,8.338802732228178,2.65500838501717,7.089486279391889,
V14Q_g1,field_reversal,euclidean,0.0,all_nominal,5,all,13,85.72444107341838,14.706275224325507,7.260876237259445,
V14Q_g1,message_corruption,euclidean,0.0,all_nominal,5,all,13,12.229610731283055,2.8784897114713153,7.260876237259445,
V14Q_g1,network_partition,euclidean,0.0,all_nominal,5,all,13,12.229610731283055,2.837734012838322,7.260876237259445,
V14Q_g1,nominal,euclidean,0.0,all_nominal,5,all,13,12.229610731283055,2.837734012838322,7.260876237259445,
V14Q_g2,field_reversal,euclidean,0.0,all_nominal,5,all,13,87.17134162931609,14.761855591687123,7.2036045300685005,
V14Q_g2,message_corruption,euclidean,0.0,all_nominal,5,all,13,7.136927969150482,3.512173151878138,7.2036045300685005,
V14Q_g2,network_partition,euclidean,0.0,all_nominal,5,all,13,7.136927969150482,3.564916785518574,7.2036045300685005,
V14Q_g2,nominal,euclidean,0.0,all_nominal,5,all,13,7.136927969150482,3.590625125630985,7.2036045300685005,
V14Q_g3,field_reversal,euclidean,0.0,all_nominal,5,all,13,88.5922869504407,15.765627840560501,6.991278419360114,
V14Q_g3,message_corruption,euclidean,0.0,all_nominal,5,all,13,7.254346378458715,3.5801630873426236,6.991278419360114,
V14Q_g3,network_partition,euclidean,0.0,all_nominal,5,all,13,7.254346378458715,3.5584906925830717,6.991278419360114,
V14Q_g3,nominal,euclidean,0.0,all_nominal,5,all,13,7.254346378458715,3.551062957934677,6.991278419360114,
V14Q_g4,field_reversal,euclidean,0.0,all_nominal,5,all,13,90.742399859267,14.855795240775256,6.819066975593654,
V14Q_g4,message_corruption,euclidean,0.0,all_nominal,5,all,13,8.810695758651416,2.1451988040466876,6.819066975593654,
V14Q_g4,network_partition,euclidean,0.0,all_nominal,5,all,13,8.810695758651416,2.1039509690698392,6.819066975593654,
V14Q_g4,nominal,euclidean,0.0,all_nominal,5,all,13,8.810695758651416,2.415012821675124,6.819066975593654,
V14Q_g5,field_reversal,euclidean,0.0,all_nominal,5,all,13,196.31874652943844,32.97522652865316,8.029659636391525,
V14Q_g5,message_corruption,euclidean,0.0,all_nominal,5,all,13,31.331132723292423,4.809542672695895,8.029659636391525,
