sender,recipient,messages
HUM-00-ngo,HUM-01-transport,3
HUM-00-ngo,HUM-02-local_authority,3
HUM-00-ngo,HUM-03-assessment,3
HUM-00-ngo,HUM-25-transport,3
HUM-00-ngo,HUM-26-local_authority,3
HUM-01-transport,HUM-00-ngo,5
HUM-01-transport,HUM-04-clinic,5
HUM-01-transport,HUM-26-local_authority,5
HUM-02-local_authority,HUM-00-ngo,3
HUM-02-local_authority,HUM-01-transport,3
HUM-02-local_authority,HUM-03-assessment,3
HUM-02-local_authority,HUM-04-clinic,3
HUM-02-local_authority,HUM-05-shelter,3
HUM-03-assessment,HUM-00-ngo,3
HUM-03-assessment,HUM-02-local_authority,3
HUM-03-assessment,HUM-05-shelter,3
HUM-03-assessment,HUM-06-depot,3
HUM-03-assessment,HUM-23-hub,3
HUM-04-clinic,HUM-01-transport,5
HUM-04-clinic,HUM-05-shelter,5
HUM-04-clinic,HUM-07-hub,5
HUM-05-shelter,HUM-02-local_authority,2
HUM-05-shelter,HUM-03-assessment,1
HUM-05-shelter,HUM-04-clinic,2
HUM-05-shelter,HUM-06-depot,2
HUM-05-shelter,HUM-07-hub,2
HUM-05-shelter,HUM-08-ngo,1
HUM-05-shelter,HUM-15-hub,1
HUM-05-shelter,HUM-18-local_authority,2
HUM-05-shelter,HUM-25-transport,2
HUM-06-depot,HUM-03-assessment,5
HUM-06-depot,HUM-05-shelter,5
HUM-06-depot,HUM-13-shelter,5
HUM-07-hub,HUM-04-clinic,15
HUM-08-ngo,HUM-05-shelter,5
HUM-08-ngo,HUM-07-hub,5
HUM-08-ngo,HUM-10-local_authority,5
HUM-09-transport,HUM-08-ngo,3
HUM-09-transport,HUM-10-local_authority,3
HUM-09-transport,HUM-11-assessment,3
HUM-09-transport,HUM-12-clinic,3
HUM-09-transport,HUM-23-hub,3
HUM-10-local_authority,HUM-07-hub,5
HUM-10-local_authority,HUM-09-transport,5
HUM-10-local_authority,HUM-12-clinic,5
HUM-11-assessment,HUM-08-ngo,5
HUM-11-assessment,HUM-10-local_authority,5
HUM-11-assessment,HUM-13-shelter,5
HUM-12-clinic,HUM-09-transport,3
HUM-12-clinic,HUM-10-local_authority,2
HUM-12-clinic,HUM-11-assessment,2
HUM-12-clinic,HUM-13-shelter,2
HUM-12-clinic,HUM-15-hub,2
HUM-12-clinic,HUM-19-assessment,2
HUM-12-clinic,HUM-24-ngo,2
HUM-13-shelter,HUM-06-depot,8
HUM-13-shelter,HUM-14-depot,7
HUM-14-depot,HUM-11-assessment,3
HUM-14-depot,HUM-13-shelter,3
HUM-14-depot,HUM-15-hub,3
HUM-14-depot,HUM-16-ngo,3
HUM-14-depot,HUM-17-transport,3
HUM-15-hub,HUM-05-shelter,3
HUM-15-hub,HUM-12-clinic,2
HUM-15-hub,HUM-13-shelter,2
HUM-15-hub,HUM-14-depot,2
HUM-15-hub,HUM-16-ngo,2
HUM-15-hub,HUM-17-transport,2
HUM-15-hub,HUM-25-transport,2
HUM-16-ngo,HUM-13-shelter,5
HUM-16-ngo,HUM-15-hub,5
HUM-16-ngo,HUM-18-local_authority,5
HUM-17-transport,HUM-14-depot,3
HUM-17-transport,HUM-15-hub,2
HUM-17-transport,HUM-16-ngo,2
HUM-17-transport,HUM-18-local_authority,2
HUM-17-transport,HUM-19-assessment,2
HUM-17-transport,HUM-20-clinic,2
HUM-17-transport,HUM-21-shelter,2
HUM-18-local_authority,HUM-05-shelter,5
HUM-18-local_authority,HUM-17-transport,5
HUM-18-local_authority,HUM-20-clinic,5
HUM-19-assessment,HUM-12-clinic,5
HUM-19-assessment,HUM-17-transport,5
HUM-19-assessment,HUM-21-shelter,5
HUM-20-clinic,HUM-17-transport,3
HUM-20-clinic,HUM-18-local_authority,2
HUM-20-clinic,HUM-21-shelter,3
HUM-20-clinic,HUM-23-hub,3
HUM-20-clinic,HUM-24-ngo,3
HUM-21-shelter,HUM-17-transport,5
HUM-21-shelter,HUM-19-assessment,5
HUM-21-shelter,HUM-22-depot,5
HUM-22-depot,HUM-01-transport,5
HUM-22-depot,HUM-21-shelter,5
HUM-22-depot,HUM-24-ngo,5
HUM-23-hub,HUM-03-assessment,5
HUM-23-hub,HUM-20-clinic,5
HUM-23-hub,HUM-24-ngo,5
HUM-24-ngo,HUM-12-clinic,8
HUM-24-ngo,HUM-23-hub,7
HUM-25-transport,HUM-00-ngo,5
HUM-25-transport,HUM-15-hub,5
HUM-25-transport,HUM-23-hub,5
HUM-26-local_authority,HUM-00-ngo,3
HUM-26-local_authority,HUM-01-transport,3
HUM-26-local_authority,HUM-06-depot,3
HUM-26-local_authority,HUM-24-ngo,3
HUM-26-local_authority,HUM-27-assessment,3
HUM-27-assessment,HUM-01-transport,3
HUM-27-assessment,HUM-04-clinic,3
HUM-27-assessment,HUM-13-shelter,3
HUM-27-assessment,HUM-24-ngo,3
HUM-27-assessment,HUM-26-local_authority,3
